,Point,Quad No.,Species,Common name,Diametre/centimetre,Point to plant/metre,Basal area covered/centimetre^2
0,1,1,,Eastern white pine,50.5,4.0,2002.9616662043425
1,1,2,,Eastern hemlock,46.6,3.0,1705.5392357073626
2,1,3,,Yellow birch,21.3,4.25,356.3272927517884
3,1,4,,Eastern hemlock,22.5,4.3,397.60782021995817
4,2,1,,Eastern hemlock,14.4,5.15,162.8601631620949
5,2,2,,Eastern hemlock,30.4,2.15,725.8335666853858
6,2,3,,Yellow birch,22.3,4.0,390.5706526759171
7,2,4,,Sugar maple,23.9,6.15,448.6272849142564
8,3,1,,Eastern white pine,71.1,0.6,3970.352649588414
9,3,2,,Sugar maple,14.1,4.0,156.1450088650467
10,3,3,,Northern red oak,19.6,7.1,301.7185584507638
11,3,4,,Sugar maple,17.2,5.9,232.35219265950107
12,4,1,,Eastern white pine,45.0,0.25,1590.4312808798327
13,4,2,,Northern red oak,44.5,7.0,1555.284713067797
14,4,3,,Eastern white pine,63.8,3.5,3196.916100219509
15,4,4,,Northern red oak,24.7,2.75,479.16356550714914
16,5,1,,Yellow birch,17.4,2.5,237.7871479502114
17,5,2,,Eastern hemlock,22.5,2.75,397.60782021995817
18,5,3,,Green ash,10.5,3.13,86.59014751456867
19,5,4,,Green ash,29.5,4.3,683.4927516966294
20,6,1,,Sugar maple,23.2,0.69,422.7327074670426
21,6,2,,Green ash,12.1,4.77,114.9901451030204
22,6,3,,Sugar maple,12.5,3.5,122.7184630308513
23,6,4,,Sugar maple,11.7,5.45,107.51315458747668
24,7,1,,Eastern white pine,36.6,4.84,1052.0879637606859
25,7,2,,Eastern white pine,65.0,8.32,3318.307240354219
26,7,3,,Sugar maple,20.5,2.06,330.0635781677776
27,7,4,,Eastern hemlock,13.6,6.49,145.267244301992
28,8,1,,Eastern white pine,48.5,1.72,1847.4528298516477
29,8,2,,Sugar maple,9.5,1.08,70.8821842466197
30,8,3,,Sugar maple,6.0,1.26,28.274333882308138
31,8,4,,Eastern hemlock,13.0,3.8,132.73228961416876
32,9,1,,Eastern white pine,84.0,3.74,5541.769440932395
33,9,2,,Northern red oak,14.1,1.84,156.1450088650467
34,9,3,,Northern red oak,15.0,4.41,176.71458676442586
35,9,4,,Sugar maple,14.8,1.55,172.0336137105771
36,10,1,,Eastern white pine,58.8,2.45,2715.4670260568732
37,10,2,,Sugar maple,32.5,5.92,829.5768100885548
38,10,3,,Eastern white pine,63.4,2.38,3156.955041665847
39,10,4,,Sugar maple,22.9,5.29,411.87065086725585
