,1,2,3,4,5,6,7,8,9,10,Total area for species
White pine,0,0,0,0,0,0,11047.38,0,4904.25,5138.92,21090.55
Eastern hemlock,268.8,0,1194.59,96.77,916.6,1372.32,208.67,0,0,881.41,4939.16
Red maple ,0,0,0,0,1194.59,0,1225.42,2099.28,78.81,0,4598.100000000001
Paper birch,0,528.99,1499.87,620.16,0,0,304.81,0,0,0,2953.83
Yellow birch,0,0,277.59,0,2074.99,0,0,0,0,0,2352.58
Black oak,891.97,0,0,0,0,0,0,0,0,0,891.97
Black birch,702.15,0,0,0,0,0,0,0,0,0,702.15
Green ash,0,688.13,0,0,0,0,0,0,0,0,688.13
Sugar maple,0,0,193.59,55.42,0,277.59,0,20.43,0,0,547.0299999999999
American beech,33.18,0,0,160.61,0,0,0,44.52,0,0,238.31000000000003
