,Point,Quad No.,Species,Common name,Diametre/centimetre,Point to plant/metre,Basal area covered,Basal area covered/centimetre^2
0,1,1,,Eastern hemlock,18.5,2.95,,268.8025214227767
1,1,2,,Black oak,33.7,440.0,,891.9688401888483
2,1,3,,Black birch,29.9,188.0,,702.1538120589527
3,1,4,,American beech,6.5,343.0,,33.18307240354219
4,2,1,,Paper birch,12.5,300.0,,122.7184630308513
5,2,2,,Green ash,29.6,50.0,,688.1344548423084
6,2,3,,Paper birch,9.2,267.0,,66.47610054996001
7,2,4,,Paper birch,20.8,103.0,,339.79466141227203
8,3,1,,Eastern hemlock,39.0,500.0,,1194.5906065275187
9,3,2,,Yellow birch,18.8,270.0,,277.59112687119415
10,3,3,,Sugar maple,15.7,343.0,,193.592793295837
11,3,4,,Paper birch,43.7,450.0,,1499.8670186584732
12,4,1,,American beech,14.3,28.1,,160.6060704331442
13,4,2,,Paper birch,28.1,410.0,,620.1582438002592
14,4,3,,Sugar maple,8.4,337.0,,55.41769440932395
15,4,4,,Eastern hemlock,11.1,420.0,,96.76890771219959
16,5,1,,Yellow birch,51.4,343.0,,2074.9905317695225
17,5,2,,Red maple ,39.0,130.0,,1194.5906065275187
18,5,3,,Eastern hemlock,24.7,255.0,,479.16356550714914
19,5,4,,Eastern hemlock,23.6,370.0,,437.4353610858428
20,6,1,,Sugar maple,18.8,95.0,,277.59112687119415
21,6,2,,Eastern hemlock,4.9,305.0,,18.857409903172737
22,6,3,,Eastern hemlock,32.2,300.0,,814.3322317370104
23,6,4,,Eastern hemlock,26.2,880.0,,539.1287152825444
24,7,1,,Paper birch,19.7,150.0,,304.8051732329157
25,7,2,,White pine,118.6,300.0,,11047.379150421972
26,7,3,,Red maple ,39.5,445.0,,1225.4174844408687
27,7,4,,Eastern hemlock,16.3,390.0,,208.67243803306803
28,8,1,,American beech,5.8,285.0,,26.42079421669016
29,8,2,,Red maple ,51.7,75.0,,2099.2828969634056
30,8,3,,American beech,4.8,350.0,,18.09557368467721
31,8,4,,Sugar maple,5.1,255.0,,20.42820622996763
32,9,1,,White pine,47.7,245.0,,1787.0085871965805
33,9,2,,Red maple ,8.5,215.0,,56.74501730546564
34,9,3,,White pine,63.0,580.0,,3117.245310524472
35,9,4,,Red maple ,5.3,395.0,,22.061834409834322
36,10,1,,White pine,31.6,730.0,,784.267190042156
37,10,2,,Eastern hemlock,33.5,50.0,,881.4130888727864
38,10,3,,White pine,65.4,210.0,,3359.2736085570305
39,10,4,,White pine,35.6,570.0,,995.3822163633902
